table,name,definition,type,allowed_values,units,missing_value_rules
yearbook_clean,E22_04_Village_Clinics,Village Clinics (China Statistical Yearbook table E22_04),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_04_Village_run,Village run (China Statistical Yearbook table E22_04),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Community_Health_Service_Centers_Stations,Community Health Service Centers Stations (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Health_Care_Institutions_at_Grass_root_Level,Health Care Institutions at Grass root Level (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Hospitals,Hospitals (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Maternal_and_Children_Care_Centers,Maternal and Children Care Centers (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Specialized_Disease_Prevention_Treatment_Institutions,Specialized Disease Prevention Treatment Institutions (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Specialized_Public_Health_Institutions,Specialized Public Health Institutions (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Total,Total (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_06_Township_Health_Centers,Township Health Centers (China Statistical Yearbook table E22_06),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_07_Beds_Rural,Beds Rural (China Statistical Yearbook table E22_07),integer,non-negative integer,bed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_07_Beds_Total,Beds Total (China Statistical Yearbook table E22_07),integer,non-negative integer,bed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_07_Beds_Urban,Beds Urban (China Statistical Yearbook table E22_07),integer,non-negative integer,bed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_07_Beds_per_1000_Population_Rural,Beds per 1000 Population Rural (China Statistical Yearbook table E22_07),integer,non-negative integer,bed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_07_Beds_per_1000_Population_Total,Beds per 1000 Population Total (China Statistical Yearbook table E22_07),integer,non-negative integer,bed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_07_Beds_per_1000_Population_Urban,Beds per 1000 Population Urban (China Statistical Yearbook table E22_07),integer,non-negative integer,bed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Average_Length_of_Stay_Non_public_Hospitals,Average Length of Stay Non public Hospitals (China Statistical Yearbook table E22_08),numeric,non-negative numeric; see unit,day_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Average_Length_of_Stay_Public_Hospitals,Average Length of Stay Public Hospitals (China Statistical Yearbook table E22_08),numeric,non-negative numeric; see unit,day_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Average_Length_of_Stay_Total,Average Length of Stay Total (China Statistical Yearbook table E22_08),numeric,non-negative numeric; see unit,day_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Occupancy_Rate_Non_public_Hospitals,Occupancy Rate Non public Hospitals (China Statistical Yearbook table E22_08),percent,non-negative numeric; typically 0-100,percent_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Occupancy_Rate_Public_Hospitals,Occupancy Rate Public Hospitals (China Statistical Yearbook table E22_08),percent,non-negative numeric; typically 0-100,percent_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Occupancy_Rate_Total,Occupancy Rate Total (China Statistical Yearbook table E22_08),percent,non-negative numeric; typically 0-100,percent_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Working_Days_Non_public_Hospitals,Working Days Non public Hospitals (China Statistical Yearbook table E22_08),numeric,non-negative numeric; see unit,day_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Working_Days_Public_Hospitals,Working Days Public Hospitals (China Statistical Yearbook table E22_08),numeric,non-negative numeric; see unit,day_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_08_Working_Days_of_Hospital_Beds_Total,Working Days of Hospital Beds Total (China Statistical Yearbook table E22_08),numeric,non-negative numeric; see unit,day_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_09_Cases_in_Observation_Rooms_10000_cases,Cases in Observation Rooms 10000 cases (China Statistical Yearbook table E22_09),numeric,non-negative numeric; see unit,mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_09_Fatality_Rate_among_Emergency_Admissions,Fatality Rate among Emergency Admissions (China Statistical Yearbook table E22_09),percent,non-negative numeric; typically 0-100,percent_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_09_Fatality_Rate_in_Observation_Rooms,Fatality Rate in Observation Rooms (China Statistical Yearbook table E22_09),percent,non-negative numeric; typically 0-100,percent_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_09_Number_of_Health_Examinations,Number of Health Examinations (China Statistical Yearbook table E22_09),numeric,non-negative numeric; see unit,10000_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_09_Outpatient_and_Emergency_Visits,Outpatient and Emergency Visits (China Statistical Yearbook table E22_09),numeric,non-negative numeric; see unit,100_million_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_09_Visits,Visits (China Statistical Yearbook table E22_09),numeric,non-negative numeric; see unit,100_million_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_10_Fatality_Rate,Fatality Rate (China Statistical Yearbook table E22_10),percent,non-negative numeric; typically 0-100,percent_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_10_Inpatients,Inpatients (China Statistical Yearbook table E22_10),numeric,non-negative numeric; see unit,10000_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_10_Inpatients_per_100_Outpatient_and_Emergency_Visits_person_time,Inpatients per 100 Outpatient and Emergency Visits person time (China Statistical Yearbook table E22_10),numeric,non-negative numeric; see unit,mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_10_Patients_Discharged,Patients Discharged (China Statistical Yearbook table E22_10),numeric,non-negative numeric; see unit,10000_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_10_Surgical_Operations_of_Inpatients,Surgical Operations of Inpatients (China Statistical Yearbook table E22_10),numeric,non-negative numeric; see unit,10000_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_11_Community_Health_Service_Centers_Daily_Visits_per_Physician_person_time,Community Health Service Centers Daily Visits per Physician person time (China Statistical Yearbook table E22_11),numeric,non-negative numeric; see unit,mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_11_Community_Health_Service_Centers_Visits,Community Health Service Centers Visits (China Statistical Yearbook table E22_11),numeric,non-negative numeric; see unit,10000_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_11_Community_Health_Service_Stations_Daily_Visits_per_Physician_person_time,Community Health Service Stations Daily Visits per Physician person time (China Statistical Yearbook table E22_11),numeric,non-negative numeric; see unit,mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_11_Community_Health_Service_Stations_Visits,Community Health Service Stations Visits (China Statistical Yearbook table E22_11),numeric,non-negative numeric; see unit,10000_person_times_mixed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_12_Average_Length_of_Stay_in_Hospital,Average Length of Stay in Hospital (China Statistical Yearbook table E22_12),numeric,non-negative numeric; see unit,day,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_12_Inpatients,Inpatients (China Statistical Yearbook table E22_12),numeric,non-negative numeric; see unit,10000_person_times,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_12_Occupancy_Rate_of_Hospital_Beds,Occupancy Rate of Hospital Beds (China Statistical Yearbook table E22_12),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_12_Visits_100_million,Visits 100 million (China Statistical Yearbook table E22_12),numeric,non-negative numeric; see unit,person_times,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_16_Coverage_Rate_of_Eye_Care_and_Vision_Examination_for_Children_Aged_0_6,Coverage Rate of Eye Care and Vision Examination for Children Aged 0 6 (China Statistical Yearbook table E22_16),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_16_Health_Management_Rate_for_Children_under_7_Years_Old,Health Management Rate for Children under 7 Years Old (China Statistical Yearbook table E22_16),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_16_System_Management_Rate_for_Children_under_3_Years_Old,System Management Rate for Children under 3 Years Old (China Statistical Yearbook table E22_16),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_16_Visit_Rate_to_the_Newborn,Visit Rate to the Newborn (China Statistical Yearbook table E22_16),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_17_Card_Establishment_Rate_for_Maternal_Health,Card Establishment Rate for Maternal Health (China Statistical Yearbook table E22_17),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_17_Institutional_Delivery_Rate,Institutional Delivery Rate (China Statistical Yearbook table E22_17),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_17_Maternal_Systematic_Management_Rate,Maternal Systematic Management Rate (China Statistical Yearbook table E22_17),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_17_Postnatal_Visit_Rate,Postnatal Visit Rate (China Statistical Yearbook table E22_17),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_17_Prenatal_Examination_Rate,Prenatal Examination Rate (China Statistical Yearbook table E22_17),percent,non-negative numeric; typically 0-100,pct,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_19_Child_Welfare_and_Assistance_Institutions,Child Welfare and Assistance Institutions (China Statistical Yearbook table E22_19),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_19_Elderly_Care_Beds_per_1000_Elderly_Population,Elderly Care Beds per 1000 Elderly Population (China Statistical Yearbook table E22_19),integer,non-negative integer,bed,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_19_Elderly_Care_Institutions,Elderly Care Institutions (China Statistical Yearbook table E22_19),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_19_Mental_Illness_Service_Institutions,Mental Illness Service Institutions (China Statistical Yearbook table E22_19),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_19_Number_of_Beds_of_Civil_Affairs_Institutions_with_Accommodations,Number of Beds of Civil Affairs Institutions with Accommodations (China Statistical Yearbook table E22_19),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_19_Other_Institutions,Other Institutions (China Statistical Yearbook table E22_19),numeric,non-negative numeric; see unit,10000_beds,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_20_Children_Raised_in_Social_Welfare_Institutions,Children Raised in Social Welfare Institutions (China Statistical Yearbook table E22_20),integer,non-negative integer,person,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_20_Family_Rearing,Family Rearing (China Statistical Yearbook table E22_20),integer,non-negative integer,person,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_20_Institutional_Rearing,Institutional Rearing (China Statistical Yearbook table E22_20),integer,non-negative integer,person,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_20_Number_of_Children_Adopted,Number of Children Adopted (China Statistical Yearbook table E22_20),integer,non-negative integer,person,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_20_Number_of_Orphans,Number of Orphans (China Statistical Yearbook table E22_20),integer,non-negative integer,person,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_21_Number_of_Rural_Residents_Entitled_to_Minimum_Living_Allowance,Number of Rural Residents Entitled to Minimum Living Allowance (China Statistical Yearbook table E22_21),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_21_Number_of_Urban_Residents_Entitled_to_Minimum_Living_Allowance,Number of Urban Residents Entitled to Minimum Living Allowance (China Statistical Yearbook table E22_21),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_21_Rural_Households_in_Extreme_Difficulty_with_Centralized_Living_Arrangement,Rural Households in Extreme Difficulty with Centralized Living Arrangement (China Statistical Yearbook table E22_21),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_21_Rural_Households_in_Extreme_Difficulty_with_Decentralized_Living_Arrangement,Rural Households in Extreme Difficulty with Decentralized Living Arrangement (China Statistical Yearbook table E22_21),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_22_Expenses_on_Medical_Aid_for_Outpatients_and_Inpatients,Expenses on Medical Aid for Outpatients and Inpatients (China Statistical Yearbook table E22_22),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_22_Expenses_on_Subsidy_to_Participation_in_Basic_Medical_Insurance,Expenses on Subsidy to Participation in Basic Medical Insurance (China Statistical Yearbook table E22_22),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_22_Number_of_People_Subsidized_to_Participate_in_Basic_Medical_Insurance,Number of People Subsidized to Participate in Basic Medical Insurance (China Statistical Yearbook table E22_22),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_22_Outpatients_and_Inpatients_Receiving_Medical_Aid,Outpatients and Inpatients Receiving Medical Aid (China Statistical Yearbook table E22_22),numeric,non-negative numeric; see unit,10000_person_times,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_23_Foundations,Foundations (China Statistical Yearbook table E22_23),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_23_Private_Non_Enterprise_Units,Private Non Enterprise Units (China Statistical Yearbook table E22_23),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_23_Social_Groups,Social Groups (China Statistical Yearbook table E22_23),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_23_Social_Organizations,Social Organizations (China Statistical Yearbook table E22_23),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_24_Divorce_Rate,Divorce Rate (China Statistical Yearbook table E22_24),rate,non-negative numeric; typically 0-1000,per_mille,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_24_Divorces,Divorces (China Statistical Yearbook table E22_24),numeric,non-negative numeric; see unit,10000_couples,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_24_First_Marriages,First Marriages (China Statistical Yearbook table E22_24),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_24_Involving_Foreigners_Overseas_Chinese_or_Residents_of_Hong_Kong_Macao_Taiwan,Involving Foreigners Overseas Chinese or Residents of Hong Kong Macao Taiwan (China Statistical Yearbook table E22_24),numeric,non-negative numeric; see unit,10000_couples,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_24_Mainland_Residents,Mainland Residents (China Statistical Yearbook table E22_24),numeric,non-negative numeric; see unit,10000_couples,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_24_Re_marriages,Re marriages (China Statistical Yearbook table E22_24),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_24_Total_Number_of_Marriage_Registration,Total Number of Marriage Registration (China Statistical Yearbook table E22_24),numeric,non-negative numeric; see unit,10000_couples,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_25_Expenditure_of_Public_Welfare_Fund_from_Welfare_Lottery,Expenditure of Public Welfare Fund from Welfare Lottery (China Statistical Yearbook table E22_25),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_25_Sales_of_Welfare_Lottery,Sales of Welfare Lottery (China Statistical Yearbook table E22_25),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_25_Welfare_Lottery_Issuing_Units,Welfare Lottery Issuing Units (China Statistical Yearbook table E22_25),integer,non-negative integer,counts,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E22_25_Withdraws_of_Public_Welfare_Fund_from_Welfare_Lottery,Withdraws of Public Welfare Fund from Welfare Lottery (China Statistical Yearbook table E22_25),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_23_Female_Membership_Grassroot_Units_with_Established_Trade_Unions,Female Membership Grassroot Units with Established Trade Unions (China Statistical Yearbook table E24_23),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_23_Female_Staff_and_Workers_Grassroot_Units_with_Established_Trade_Unions,Female Staff and Workers Grassroot Units with Established Trade Unions (China Statistical Yearbook table E24_23),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_23_Full_Time_Personnel_of_Trade_Unions,Full Time Personnel of Trade Unions (China Statistical Yearbook table E24_23),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_23_Grassroot_Trade_Unions,Grassroot Trade Unions (China Statistical Yearbook table E24_23),numeric,non-negative numeric; see unit,10000_units,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_23_Membership_Grassroot_Units_with_Established_Trade_Unions,Membership Grassroot Units with Established Trade Unions (China Statistical Yearbook table E24_23),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_23_Staff_and_Workers_Grassroot_Units_with_Established_Trade_Unions,Staff and Workers Grassroot Units with Established Trade Unions (China Statistical Yearbook table E24_23),numeric,non-negative numeric; see unit,10000_persons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_26_Urban_Workers_Endowment_Insurance_Balance_at_Year_End,Urban Workers Endowment Insurance Balance at Year End (China Statistical Yearbook table E24_26),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E24_26_Urban_Workers_Endowment_Insurance_Expenses,Urban Workers Endowment Insurance Expenses (China Statistical Yearbook table E24_26),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
